      SVWN       0.979     3631         1.021     3493         1.547       1.637  
    PBEPBE       0.977     3630         1.018     3502         1.741       1.843  
      BP86       0.978     3618         1.018     3490         1.740       1.840  
      BLYP       0.977     3605         1.017     3481         1.818       1.924  
  TPSSTPSS       0.974     3651         1.014     3527         1.756       1.860  
      M06L       0.963     3792         1.005     3596         1.814       1.956  
     B3LYP       0.966     3767         1.009     3594         1.818       1.936  
 BHandHLYP       0.953     3953         0.999     3728         1.834       1.976  
 CAM-B3LYP       0.964     3811         1.008     3625         1.787       1.909  
   LC-wPBE       0.964     3850         1.008     3664         1.795       1.911  
      wB97       0.963     3844         1.008     3662         1.825       1.965  
       M06       0.963     3825         1.008     3604         1.833       1.962  
     M062X       0.964     3841         1.009     3614         1.816       1.959  
     TPSSh       0.969     3726         1.011     3578         1.767       1.877  
